id;code;descr;category;stock;price
1;SKU-001;Teclado Mecânico;Periféricos;34;199.90
2;SKU-002;Mouse Óptico;Periféricos;80;69.90
3;SKU-003;"Monitor 24""";Monitores;11;999.00
4;SKU-004;Headset USB;Áudio;14;149.00
5;SKU-005;Webcam HD;Vídeo;9;229.00
6;SKU-006;"Notebook 14""";Computadores;6;3999.00
7;SKU-10000;Item 10000 Periféricos - Modelo 1;Periféricos;0;19.90
8;SKU-10001;Item 10001 Monitores - Modelo 2;Monitores;7;23.37
9;SKU-10002;Item 10002 Áudio - Modelo 3;Áudio;14;26.84
10;SKU-10003;Item 10003 Vídeo - Modelo 4;Vídeo;21;30.31
11;SKU-10004;Item 10004 Computadores - Modelo 5;Computadores;28;33.78
12;SKU-10005;Item 10005 Redes - Modelo 6;Redes;30;37.25
13;SKU-10006;Item 10006 Impressão - Modelo 7;Impressão;42;40.72
14;SKU-10007;Item 10007 Acessórios - Modelo 8;Acessórios;49;44.19
15;SKU-10008;Item 10008 Armazenamento - Modelo 9;Armazenamento;56;47.66
16;SKU-10009;Item 10009 Energia - Modelo 10;Energia;63;51.13
17;SKU-10010;Item 10010 Periféricos - Modelo 11;Periféricos;70;54.60
18;SKU-10011;Item 10011 Monitores - Modelo 12;Monitores;77;58.07
19;SKU-10012;Item 10012 Áudio - Modelo 13;Áudio;84;61.54
20;SKU-10013;Item 10013 Vídeo - Modelo 14;Vídeo;91;65.01
21;SKU-10014;Item 10014 Computadores - Modelo 15;Computadores;98;68.48
22;SKU-10015;Item 10015 Redes - Modelo 16;Redes;105;71.95
23;SKU-10016;Item 10016 Impressão - Modelo 17;Impressão;112;75.42
24;SKU-10017;Item 10017 Acessórios - Modelo 18;Acessórios;119;78.89
25;SKU-10018;Item 10018 Armazenamento - Modelo 19;Armazenamento;6;82.36
26;SKU-10019;Item 10019 Energia - Modelo 20;Energia;13;85.83
27;SKU-10020;Item 10020 Periféricos - Modelo 21;Periféricos;20;89.30
28;SKU-10021;Item 10021 Monitores - Modelo 22;Monitores;27;92.77
29;SKU-10022;Item 10022 Áudio - Modelo 23;Áudio;34;96.24
30;SKU-10023;Item 10023 Vídeo - Modelo 24;Vídeo;41;99.71
31;SKU-10024;Item 10024 Computadores - Modelo 25;Computadores;48;103.18
32;SKU-10025;Item 10025 Redes - Modelo 26;Redes;55;106.65
33;SKU-10026;Item 10026 Impressão - Modelo 27;Impressão;62;110.12
34;SKU-10027;Item 10027 Acessórios - Modelo 28;Acessórios;69;113.59
35;SKU-10028;Item 10028 Armazenamento - Modelo 29;Armazenamento;76;117.06
36;SKU-10029;Item 10029 Energia - Modelo 30;Energia;83;120.53
37;SKU-10030;Item 10030 Periféricos - Modelo 31;Periféricos;90;124.00
38;SKU-10031;Item 10031 Monitores - Modelo 32;Monitores;97;127.47
39;SKU-10032;Item 10032 Áudio - Modelo 33;Áudio;104;130.94
40;SKU-10033;Item 10033 Vídeo - Modelo 34;Vídeo;111;134.41
41;SKU-10034;Item 10034 Computadores - Modelo 35;Computadores;118;137.88
42;SKU-10035;Item 10035 Redes - Modelo 36;Redes;5;141.35
43;SKU-10036;Item 10036 Impressão - Modelo 37;Impressão;12;144.82
44;SKU-10037;Item 10037 Acessórios - Modelo 38;Acessórios;19;148.29
45;SKU-10038;Item 10038 Armazenamento - Modelo 39;Armazenamento;26;151.76
46;SKU-10039;Item 10039 Energia - Modelo 40;Energia;33;155.23
47;SKU-10040;Item 10040 Periféricos - Modelo 41;Periféricos;40;158.70
48;SKU-10041;Item 10041 Monitores - Modelo 42;Monitores;47;162.17
49;SKU-10042;Item 10042 Áudio - Modelo 43;Áudio;54;165.64
50;SKU-10043;Item 10043 Vídeo - Modelo 44;Vídeo;61;169.11
51;SKU-10044;Item 10044 Computadores - Modelo 45;Computadores;68;172.58
52;SKU-10045;Item 10045 Redes - Modelo 46;Redes;75;176.05
53;SKU-10046;Item 10046 Impressão - Modelo 47;Impressão;82;179.52
54;SKU-10047;Item 10047 Acessórios - Modelo 48;Acessórios;89;182.99
55;SKU-10048;Item 10048 Armazenamento - Modelo 49;Armazenamento;96;186.46
56;SKU-10049;Item 10049 Energia - Modelo 50;Energia;103;189.93
57;SKU-10050;Item 10050 Periféricos - Modelo 51;Periféricos;110;193.40
58;SKU-10051;Item 10051 Monitores - Modelo 52;Monitores;117;196.87
59;SKU-10052;Item 10052 Áudio - Modelo 53;Áudio;4;200.34
60;SKU-10053;Item 10053 Vídeo - Modelo 54;Vídeo;11;203.81
61;SKU-10054;Item 10054 Computadores - Modelo 55;Computadores;18;207.28
62;SKU-10055;Item 10055 Redes - Modelo 56;Redes;25;210.75
63;SKU-10056;Item 10056 Impressão - Modelo 57;Impressão;32;214.22
64;SKU-10057;Item 10057 Acessórios - Modelo 58;Acessórios;39;217.69
65;SKU-10058;Item 10058 Armazenamento - Modelo 59;Armazenamento;46;221.16
66;SKU-10059;Item 10059 Energia - Modelo 60;Energia;53;224.63
67;SKU-10060;Item 10060 Periféricos - Modelo 61;Periféricos;60;228.10
68;SKU-10061;Item 10061 Monitores - Modelo 62;Monitores;67;231.57
69;SKU-10062;Item 10062 Áudio - Modelo 63;Áudio;74;235.04
70;SKU-10063;Item 10063 Vídeo - Modelo 64;Vídeo;81;238.51
71;SKU-10064;Item 10064 Computadores - Modelo 65;Computadores;88;241.98
72;SKU-10065;Item 10065 Redes - Modelo 66;Redes;95;245.45
73;SKU-10066;Item 10066 Impressão - Modelo 67;Impressão;102;248.92
